gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Income($)
Male,29,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,23
Male,26,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,23
Male,29,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,24
Female,24,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,24
Male,27,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,25
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,25
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,28
Female,32,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,28
Male,26,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,28
Male,31,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,28
Male,29,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,29
Female,34,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,3-5 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,29
Male,27,Yes,4,5,1,2,7,3,6,No,Returns,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,30
Female,31,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,30
Male,27,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,33
Male,26,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Monthly,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,33
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,33
Male,30,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,33
Male,30,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,34
Male,25,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,34
Male,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,20%-30%,Equity,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,37
Male,29,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,37
